Make,Model,Year,Style,Distance,Engine_capacity(cm3),Fuel_type,Transmission,Price(euro),Age,km_year,km_unit
Toyota,Prius,0.8,Hatchback,0.19491949194919492,0.3333333333333333,Hybrid,Automatic,0.07565130260521043,0.2,0.35325195846237933,1
Renault,Grand Scenic,0.86,Universal,0.1349134913491349,0.2708333333333333,Diesel,Manual,0.08366733466933868,0.14,0.33617234468937873,1
Renault,Laguna,0.82,Universal,0.10991099109910991,0.2708333333333333,Diesel,Manual,0.06362725450901803,0.18,0.218436873747495,1
Opel,Astra,0.7,Universal,0.1999199919991999,0.2916666666666667,Metan/Propan,Manual,0.03907815631262525,0.3,0.24849699398797595,1
Mercedes,Vito,0.58,Microvan,0.29992999299929995,0.4166666666666667,Diesel,Manual,0.032965931863727455,0.42,0.27126981235197667,1
Volkswagen,Passat,0.78,Universal,0.2899289928992899,0.24791666666666667,Petrol,Manual,0.05410821643286573,0.22,0.48229792919171677,2
Volkswagen,Touareg,0.78,SUV,0.21992199219921993,0.4583333333333333,Diesel,Automatic,0.1683366733466934,0.22,0.36539746158984626,1
Mercedes,Series (W124),0.4,Sedan,0.23992399239923992,0.4375,Petrol,Manual,0.02655310621242485,0.6,0.1531449996767729,0
BMW,5 Series,0.66,Sedan,0.32493249324932494,0.020833333333333332,Diesel,Manual,0.03206412825651302,0.34,0.35983077265642394,1
Mercedes,E Class,0.78,Sedan,0.20992099209920992,0.4166666666666667,Diesel,Automatic,0.11222444889779559,0.22,0.3486973947895792,1
Mercedes,Rare,0.7,Coupe,0.29992999299929995,0.625,Diesel,Automatic,0.11623246492985972,0.3,0.37374749498997994,1
BMW,7 Series,0.54,Sedan,0.28492849284928495,0.6875,Petrol,Manual,0.03797595190380761,0.46,0.23597194388777556,1
Volkswagen,Golf,0.72,Universal,0.2382948294829483,0.25,Petrol,Automatic,0.04809619238476954,0.28,0.31646092184368735,1
Volkswagen,Rare,0.78,Hatchback,0.1499149914991499,0.20833333333333334,Petrol,Manual,0.0531062124248497,0.22,0.24849699398797595,1
Volvo,XC60,0.82,Crossover,0.17991799179917992,0.4583333333333333,Diesel,Automatic,0.15731462925851702,0.18,0.3587174348697395,1
Nissan,Qashqai,0.8,Crossover,0.25092509250925094,0.2708333333333333,Diesel,Manual,0.0811623246492986,0.2,0.4552741847331026,2
Hyundai,Matrix,0.68,Universal,0.38293829382938294,0.2708333333333333,Diesel,Manual,0.03006012024048096,0.32,0.4494872097135447,2
Audi,Rare,0.76,Hatchback,0.24792479247924792,0.375,Diesel,Automatic,0.09117234468937875,0.24,0.38029905965777716,1
Mercedes,E Class,0.66,Universal,0.31493149314931496,0.3333333333333333,Metan/Propan,Manual,0.06713426853707415,0.34,0.3486973947895792,1
GAZ,Rare,0.42,Sedan,0.06790679067906791,0.46770833333333334,Petrol,Manual,0.02026052104208417,0.58,0.04342017368069472,0
Renault,Megane,0.8,Universal,0.1709170917091709,0.2708333333333333,Diesel,Manual,0.05511022044088176,0.2,0.3095281472034979,1
Rare expensive,Rare,0.84,Hatchback,0.11291129112911291,0.034791666666666665,Electric,Automatic,0.2685370741482966,0.16,0.24961033177466047,1
Mercedes,E Class,0.86,Sedan,0.27542754275427545,0.4166666666666667,Diesel,Automatic,0.1818637274549098,0.14,0.68812625250501,2
Lincoln,Rare,0.92,Sedan,0.1569156915691569,0.3745833333333333,Hybrid,Automatic,0.17635270541082165,0.08,0.627254509018036,2
Lexus,NX Series,0.92,Crossover,0.07590759075907591,0.3745833333333333,Petrol,Automatic,0.27854709418837675,0.08,0.3026052104208417,1
Dodge,Rare,0.74,Hatchback,0.1133973397339734,0.3745833333333333,Metan/Propan,Automatic,0.043036072144288576,0.26,0.16044374463212138,0
Audi,100,0.44,Sedan,0.23492349234923493,0.375,Petrol,Manual,0.02755511022044088,0.56,0.1603897450072559,0
Porsche,Cayenne,0.82,Crossover,0.25336933693369335,0.5833333333333334,Diesel,Automatic,0.3008216432865731,0.18,0.5058997995991984,2
Lexus,RX Series,0.76,SUV,0.24992499249924993,0.6875,Hybrid,Automatic,0.1782565130260521,0.24,0.38338214891321104,1
Volkswagen,Passat,0.82,Sedan,0.1789178917891789,0.25,Metan/Propan,Automatic,0.09619238476953908,0.18,0.35671342685370744,1
BMW,Rare,0.88,Crossover,0.1696939693969397,0.375,Diesel,Automatic,0.16721442885771542,0.12,0.4840452333237904,2
Mercedes,Rare,0.92,Crossover,0.07124012401240123,0.4791666666666667,Diesel,Automatic,0.4329058116232465,0.08,0.2838997995991984,1
Opel,Vectra,0.46,Sedan,0.33993399339933994,0.3333333333333333,Petrol,Manual,0.013026052104208416,0.54,0.24133982250214717,1
BMW,7 Series,0.72,Sedan,0.29992999299929995,0.5833333333333334,Diesel,Automatic,0.11322645290581163,0.28,0.39879759519038077,1
Volkswagen,Touran,0.66,Minivan,0.27992799279927993,0.0,Diesel,Automatic,0.05110220440881764,0.34,0.3097305722556224,1
Volkswagen,Passat,0.78,Universal,0.22792279227922793,0.25,Metan/Propan,Automatic,0.05511022044088176,0.22,0.3787575150300601,1
Toyota,Auris,0.78,Sedan,0.1849184918491849,0.25,Diesel,Manual,0.06312625250501001,0.22,0.30694722778891115,1
Nissan,Qashqai,0.76,Hatchback,0.20033503350335033,0.2708333333333333,Diesel,Manual,0.06012024048096192,0.24,0.3069446585478649,1
BMW,3 Series,0.9,Minivan,0.13591359135913592,0.375,Diesel,Automatic,0.13026052104208416,0.1,0.45223780895123583,2
BMW,5 Series,0.64,Sedan,0.24992499249924993,0.5833333333333334,Petrol,Automatic,0.07304609218436874,0.36,0.2616812572513448,1
Dacia,Logan,0.86,Sedan,0.19491949194919492,0.20833333333333334,Metan/Propan,Manual,0.03806613226452906,0.14,0.4864729458917836,2
Dacia,Duster,0.88,SUV,0.1699169916991699,0.2708333333333333,Diesel,Manual,0.08617234468937876,0.12,0.4846836530203264,2
Volkswagen,Golf,0.78,Universal,0.19141914191419143,0.25,Petrol,Manual,0.05511022044088176,0.22,0.31780227120908483,1
Volkswagen,Passat,0.4,Sedan,0.2919291929192919,0.3333333333333333,Petrol,Manual,0.009519038076152305,0.6,0.18676061801021399,0
BMW,3 Series,0.66,Sedan,0.24992499249924993,0.375,Diesel,Manual,0.04307615230460922,0.34,0.27633043865508794,1
Nissan,Qashqai,0.88,Crossover,0.15791579157915792,0.2708333333333333,Diesel,Manual,0.11573146292585171,0.12,0.45032922988834806,2
Peugeot,Rare,0.94,Crossover,0.1319131913191319,0.2708333333333333,Diesel,Automatic,0.16332665330661322,0.06,0.6593186372745491,2
BMW,X5,0.68,SUV,0.26042604260426044,0.5833333333333334,Petrol,Automatic,0.08816633266533067,0.32,0.3050807497347637,1
